Question,1,2,3,Correct Answer
What is Canada's one-dollar coin commonly called?,Bucky,Dollop,Loonie,Loonie
What legendary underdog defeated Goliath in an ancient Biblical fight?,Ambrose,Chet,David,David
The initialism FYI usually stands for For your' what?,Improv group,Igloo,Information,Information
"In a classic children's joke, why is 6 afraid of 7?",6 owes 7 money,6 misunderstood 7's text,Because 7 ate 9,Because 7 ate 9
Which of these early groups of hominids lived on Earth first?,Homo erectus,Homo heidelbergensis,Homo habilis,Homo habilis
Which of these is NOT the name of one of Mexico's 31 states?,Chihuahua,Tabasco,Pi\xc3\xb1ata,Pi\xc3\xb1ata
A short period of time can be referred to with which phrase?,Chicago blink,Dallas instant,New York minute,New York minute
Which of these accessories is typically worn lowest on the body?,Brooch,Bracelet,Anklet,Anklet
The state of New Mexico has an official question that asks to choose between what?,Directions,Animals,Colors,Colors
Which of these words is NOT a synonym for monkey business'?,Shenanigans,Skullduggery,Smithereens,Smithereens
"According to an old saying, teaching a person to fish will feed them for how long?",3 to 5 business days,6 seconds,A lifetime,A lifetime
"During my appearance on  The Voice' tonight, which coach did the camera cut away to?",Alicia Keys,Kelly Clarkson,Blake Shelton,Blake Shelton
The vast majority of the Serengeti National Park is located in which country?,Kenya,Uganda,Tanzania,Tanzania
"As used in emergency medicine, what is the term stat' short for?",Stator,Staten,Statim,Statim
Which movie series' music was NOT composed by John Williams?,Indiana Jones,Harry Potter,Back to the Future,Back to the Future
"If you put on a hoodie, what type of clothing are you wearing?",Cloak,Cape,Sweatshirt,Sweatshirt
Which is NOT one of the three main types of rock?,Sedimentary,Metamorphic,Rhyolite,Rhyolite
A long-running line of '80s ads urged potential pizza customers to avoid' what?,Being annoyed,Big Floyd,The Noid,The Noid
What century refers to the same time period as the phrase the 1800s'?,17th century,18th century,19th century,19th century
Which is a common building material for chairs?,Football kickers,Fruit stickers,Wicker,Wicker
"In addition to her well-known dragon, famous literary character Lisbeth Salander has which other tattoo?",Scorpion,Flame,Wasp,Wasp
Which of these 1980s Tom Cruise movies is based on a novel?,Top Gun,Rain Man,Cocktail,Cocktail
Which of these bands does NOT have a female founding member?,Talking Heads,Sonic Youth,Simple Minds,Simple Minds
What writer was labeled as not having hope' by her teachers at seminary school?,Jane Austen,Mary Shelley,Emily Dickinson,Emily Dickinson
"Traditionally, a tattoo featuring which of these meant that a sailor had crossed the equator?",Anchor,Bottle,Turtle,Turtle
Which of these fictional kings has giant ears and a trunk?,Aslan,Aragorn,Babar,Babar
Which of these countries gained its independence most recently?,Ghana,Guinea,Grenada,Grenada
Which of these words is NOT a portmanteau?,Endorphin,Chortle,Gelato,Gelato
"Before Seinfeld,' Larry David and Michael Richards both worked on what live comedy TV show?",Saturday Night Live,SCTV,Fridays,Fridays
Which of these figures is a famous composer?,Seymour Glass,Ira Glass,Philip Glass,Philip Glass
What punctuation mark best introduces a list within a sentence?,Semicolon,Hyphen,Colon,Colon
Ducks are known for making which of these sounds?,Quadrillion,Quavo,Quack,Quack
Which of these bands has a lead singer who is literally named Savage?,My Morning Jacket,Arcade Fire,Parquet Courts,Parquet Courts
Which of these countries' flags does NOT feature a large circle?,Laos,Brazil,Croatia,Croatia
What food is thought to get its name from resembling a dachshund?,Bagel,Couscous,Hot dog,Hot dog
Which of these is both a current world leader and a diacritical mark?,Cedilla,Modi,Macron,Macron
"According to mathematical terminology, what shape' is the number 28?",Octagonal,Square,Triangular,Triangular
Earth's tallest known living tree is located closest to which of these cities?,Kathmandu,Rio de Janeiro,Sacramento,Sacramento
"In the board game Othello, also known as Reversi, what pieces may NOT be flipped?",Edge pieces,Center pieces,Corner pieces,Corner pieces
Which of these inner planets is typically hotter than the others?,Mars,Mercury,Venus,Venus
In which European country did Kim Jong-un attend boarding school?,Monaco,England,Switzerland,Switzerland
JK Rowling has also written books under what first name?,Joanna,Kasey,Robert,Robert
Which of these celebrities does NOT go by his middle name?,Bruce Willis,Ashton Kutcher,Justin Timberlake,Justin Timberlake
Which of these baseball pitches puts the least spin on the ball?,Curveball,Fastball,Knuckleball,Knuckleball
Pitch-correction technology is better known by what name?,Pitchy Dawg,Sing Sing,Auto-Tune,Auto-Tune
What do the first two letters in PE teacher' stand for?,Pizza Eater,Party Expert,Physical Education,Physical Education
Which of these Broadway musicals was NOT adapted from a film?,Kinky Boots,The Producers,Grease,Grease
The area of Las Vegas Boulevard with the city's biggest hotels is commonly referred to as what?,Mordor,Diagon Alley,The Strip,The Strip
Which of these is NOT one of the five basic human senses?,Touch,Smell,Impending doom,Impending doom
Which of these atomic building blocks is the least massive?,Neutron,Proton,Electron,Electron
Which of these words does NOT appear in the title of a Dr. Seuss book?,Kwuggerbug,Wocket,Biffle,Biffle
Which of these Sanrio characters is a family member of Hello Kitty's?,Dear Daniel,My Melody,Mimmy,Mimmy
Which of these US states does NOT border both Florida and Tennessee?,Georgia,Alabama,Mississippi,Mississippi
Bowling balls are mainly designed to knock down what?,Spools,Needles,Pins,Pins
Many US states have laws requiring dogs in public places to be on what?,Cloud nine,Social media,Leashes,Leashes
What object is displayed on the national flag of Portugal?,Orrery,Astrolabe,Armillary sphere,Armillary sphere
What song on the Hamilton' soundtrack shares its title with an Ariana Grande single?,You'll Be Back,Burn,One Last Time,One Last Time
Which of these would you typically use trigonometry to measure?,Mortgage interest,Larry King's age,Height of a tree,Height of a tree
Where do clouds most often appear?,The bottom of wells,On the ocean floor,In the sky,In the sky
Jackie Robinson played his minor league baseball home games in what city?,Jersey City,Brooklyn,Montreal,Montreal
Which of these is mentioned last in the original Law &amp Order' intro?,District attorneys,Police,Offenders,Offenders
Which of these international landmarks is located farthest north?,Statue of Liberty,Taj Mahal,Leaning Tower of Pisa,Leaning Tower of Pisa
Which of these bands titled its debut album with just a number?,Nirvana,Stone Temple Pilots,Pearl Jam,Pearl Jam
Which of these Triple Crown-winning horses ran the Kentucky Derby the fastest?,War Admiral,American Pharoah,Seattle Slew,Seattle Slew
For what object did Time' magazine bend the rules for its Person of the Year' award?,Mirror,Television,Computer,Computer
"When used as a slang term for money, how much is a rack'?",$20.00,$100.00,"$1,000.00","$1,000.00"
The speed of sound is named for what Austrian physicist?,Hans Warp,Klaus Z\xc3\xbcm,Ernst Mach,Ernst Mach
In what sport would you most likely use the term bullseye'?,Golf,Shuffleboard,Darts,Darts
The company whose stock symbol is simply V' mainly provides which of these?,Phone services,Cable TV,Financial services,Financial services
Which of these people served as vice president under the person on the US $50 bill?,Aaron Burr,Andrew Johnson,Henry Wilson,Henry Wilson
Which of these MLS soccer teams does NOT play its home games in the US?,Sounders,Timber,Impact,Impact
Which phrase consists of two football terms AND describes an arrangement of pulleys?,Snap and line,Punt and down,Block and tackle,Block and tackle
Which of these divisions of geologic time is the shortest?,Era,Epoch,Age,Age
A centuries-old game called Captain's Mistress' is now often sold under what name?,Battleship,Yahtzee,Connect Four,Connect Four
With which of the following artists has Sting NOT recorded a song?,Rod Stewart,Shaggy,Michael Bolton,Michael Bolton
"In Greek mythology, who abandoned his mother and sister to fight alongside the Trojans?",Achilles,Odysseus,Ares,Ares
Which of these did Beyonc\xc3\xa9 use to announce her first pregnancy?,Her official website,Instagram,Awards show,Awards show
Which of these sci-fi movie titles is also a scientific term that applies to black holes?,Ex Machina,Solaris,Event Horizon,Event Horizon
What animal's kid is literally called a kid'?,Sheep,Kangaroo,Goat,Goat
"What cartoon character repeatedly perishes on South Park,' only to return every time?",Darkwing Duck,Jon Snow,Kenny,Kenny
What is the real name of the co-founder of Cash Money Records?,Dwayne Carter,Sean Combs,Bryan Williams,Bryan Williams
What is the name of the robot that has spent more than 10 Earth years exploring Mars?,Spirit,Pathfinder,Opportunity,Opportunity
Association football' is the British term for a sport typically known as what in the US?,Football,Rugby,Soccer,Soccer
Which of these titles typically wields the most power at a corporation?,CIO,CFO,CEO,CEO
"The phrase always a bridesmaid, never a bride' was popularized by an ad campaign for what?",Detergent,Lingerie,Mouthwash,Mouthwash
Which of these nations shares a border with Italy?,Serbia,Slovakia,Slovenia,Slovenia
The two sides of the Great Wall of China face China and what?,Russia,Mongolia,China,China
Which of these dogs is thought to NOT get its name from its color?,Chocolate Lab,Golden Retriever,Greyhound,Greyhound
"In publishing, what is typically found next to verso'?",Bolus,Menta,Recto,Recto
"Though they all ended quickly, which of these late-night hosts had the shortest run?",Magic Johnson,Pat Sajak,Chevy Chase,Chevy Chase
Which of these is actually in the country of Scotland?,County of Scotland,Scotland Yard," Skye, Scotland "," Skye, Scotland "
From where did the Titanic originally set sail?,United States,England,Northern Ireland,Northern Ireland
Another way to express the number 1000 is to write ten to the' what?,Thousandth power,Tenth power,Third power,Third power
What was the name of the wrestling giant who starred in The Princess Bride'?,Gerry,Mitch,Andr\xc3\xa9,Andr\xc3\xa9
Which city is NOT a terminus of the Panama Canal?,Col\xc3\xb3n,Panama City,La Chorrera,La Chorrera
What classic video game was partly designed by founders of Apple Computer?,Defender,Asteroids,Breakout,Breakout
Which of these is both a body part and the phonetic pronunciation of a letter in the Hebrew alphabet?,Gimel,Heel,Shin,Shin
Which sport does NOT have a US Open?,Tennis,Golf,Handball,Handball
Which of these is the name of the ship that famously brought the Pilgrims to America?,Pacific Princess,SS Minnow,Mayflower,Mayflower
Which of these is a character from the 1980s cartoon series titled Ghostbusters'?,Slimer,Ray Stantz,Eddie Spenser Jr.,Eddie Spenser Jr.
Which of these states is home to the tallest structure in the Western Hemisphere?,Washington,New York,North Dakota,North Dakota
What is the capital of the North Star State?,Austin,Juneau,Saint Paul,Saint Paul
"When referring to the rodent, which of these is the correct plural form of mouse'?",Mouses,Octopi,Mice,Mice
A person who can't decide something is said to be sitting on the' what?,Blockchain,Dock of the bay,Fence,Fence
The final words of which famous poem are written in the Sanskrit language?,Ozymandias,The New Colossus,The Waste Land,The Waste Land
Which cartoon character made his first TV appearance in an ad for a fruit juice?,Squidward Tentacles,Snoopy,Doug Funnie,Doug Funnie
"By definition, a hotel room advertised as having AC has what?",Alive cockroaches,Almond cookies,Air conditioning,Air conditioning
Which of these is the title of only one book of the Bible?,Kings,Chronicles,Judges,Judges
Which of these is NOT one of Switzerland's official languages?,French,Italian,Dutch,Dutch
Which of these is considered higher' mathematics?,Arithmetic,Area of a square,Vector calculus,Vector calculus
Which of these islands is in the Caribbean?,Bora Bora,Seychelles,Saint Lucia,Saint Lucia
Which of these is the name of a famous cartoon chipmunk?,Mickey,Goofy,Alvin,Alvin
"According to an old saying, You can't judge a book by its' what?",Index,Klout Score,Cover,Cover
Which machine would you most likely find in a gym?,Karaoke machine,Deep fryer,Treadmill,Treadmill
"Rumored to be made of unicorn horns, the throne chair of Denmark is actually made of what?",Horse bones,White quartz,Narwhal tusks,Narwhal tusks
"What is a derisive name for a large, generic suburban home?",Piazza Hut,Burger Realm,McMansion,McMansion
The Swiss Open has twice given out which of these to a top tennis player?,Giant cheese wheel,Tuft of Swiss grass,Cow,Cow
A single piece of clothing that covers the entire body is called what?,Whatsie,Whosie,Onesie,Onesie
The acclaimed author of The Year of Magical Thinking' has appeared in ads for what fashion brand?,Givenchy,Chanel,C\xc3\xa9line,C\xc3\xa9line
Which island purportedly inspired the setting for Shakespeare's The Tempest'?,Montserrat,Anguilla,Bermuda,Bermuda
Which of these words is NOT part of the diving acronym SCUBA?,Apparatus,Contained,Sport,Sport
Which of these is NOT part of the modern version of the Hippocratic Oath?,Secret-keeping,Respect for physicians,Punctuality,Punctuality
What type of grinning animal is famously featured in Alice's Adventures in Wonderland'?,Pig,Lizard,Cat,Cat
Which of these shows typically features voiceover narration instead of an on-screen host?,Flip or Flop,Fixer Upper,House Hunters,House Hunters
Denver's Union Station once banned which of these things?,Whistling,Wearing red,Kissing,Kissing
Which of these creatures is NOT represented by a professional Japanese baseball team?,Dragon,Carp,Lizard,Lizard
"In the film version of Matilda,' which Olympic sport did Miss Trunchbull compete in?",Pole vault,Fencing,Javelin,Javelin
The 20th century US Supreme Court Justice Marshall was born with what first name?,Thoroughly,Thergood,Thoroughgood,Thoroughgood
Which of these is most likely to cause hair static?,Peeling an orange,Eating too much tuna,Taking off a sweater,Taking off a sweater
Which of these would a doctor most likely make use of?,Clinopinacoid,Xiphiplastron,Armamentarium,Armamentarium
What shape best describes the USDA's current diagram of a balanced diet?,Square,Pyramid,Circle,Circle
Which of these scientists has a common tie knot named in his honor?,Ernest Rutherford,Joseph Priestley,Lord Kelvin,Lord Kelvin
Meat Loaf's album Bat Out of Hell' features songs originally written for a musical about who?,James Dean,Dracula,Peter Pan,Peter Pan
The Golden Glove is a US prize given out to top performers in what sport?,Bowling,UFC,Boxing,Boxing
NASA's Curiosity Rover was built to explore the surface of what?,The moon,Jupiter,Mars,Mars
Which of these words is a synonym for unstable'?,Trickle,Sickle,Fickle,Fickle
Which of these celebrities is NOT mentioned by name in LFO's Summer Girls'?,Michael J. Fox,Macaulay Culkin,Vanilla Ice,Vanilla Ice
The longest side of a right triangle is called the what?,Hypotension,Hypothalamus,Hypotenuse,Hypotenuse
A catchy song is sometimes referred to as what?,Hair tarantula,Face-spider,Earworm,Earworm
"In the children's book, which of these foods did The Very Hungry Caterpillar' eat?",Banana,Pizza,Cupcake,Cupcake
Which of these US states does NOT have a sales tax?,Ohio,Oklahoma,Oregon,Oregon
"According to lore, what did the Sphinx ask for before allowing visitors into Thebes?",Offer a gift,Pay a toll,Answer a riddle,Answer a riddle
The camera was first featured in which iPhone model?,iPhone 3GS,iPhone 3G,First generation iPhone,First generation iPhone
What is the term for illegally crossing the street while not at a crosswalk?,Joewalking,Mikewalking,Jaywalking,Jaywalking
"When the US dollar currency was created, what was its value pegged to?",Price of gold,French franc,Spanish silver dollar,Spanish silver dollar
"According to the author of Harry Potter,' where is Hogwarts?",Ireland,England,Scotland,Scotland
"Of the following cities, which is farthest west?",Los Angeles,Boise,Reno,Reno
Which of these awards is given to the NBA's best first-year player?,America's Cup,Independent Spirit Award,Rookie of the Year,Rookie of the Year
Which show did NOT feature a main cast member who played one of Jerry's girlfriends on Seinfeld'?,Friends,Gilmore Girls,Wings,Wings
"When ranking the seven continents by population, which is in the exact middle?",Europe,South America,North America,North America
In which discipline are you most likely to learn about morphemes?,Nuclear chemistry,Marine biology,Linguistics,Linguistics
What does the S' stand for in the government agency TSA?,Screening,Safety,Security,Security
What internet term is named for a mythical creature?,Noob,Spam,Troll,Troll
Which of these dishes would most likely NOT be served at Buckingham Palace?,Bananas Foster,Crepes Suzette,Lobster bisque,Lobster bisque
Here Comes the Bride' was written by the composer of which opera?,Don Giovanni,Carmen,Tristan and Isolde,Tristan and Isolde
"Along with California, what state was the first to pass a medical marijuana proposition?",Alaska,Colorado,Arizona,Arizona
"When referring to cameras, which of these words is part of the acronym DSLR?",Light,Direct,Single,Single
Which of these singers referred to himself as the Lizard King'?,Gene Simmons,Steven Tyler,Jim Morrison,Jim Morrison
"In writing, what set of rules regulates the order of words?",Spelling,Arithmetic,Syntax,Syntax
The name of a facility for mentally ill foes of Batman is taken from a story by what author?,HG Wells,HL Mencken,HP Lovecraft,HP Lovecraft
Which Reese Witherspoon movie has gotten a Broadway musical adaptation?,Election,Walk the Line,Legally Blonde,Legally Blonde
Which of these words is also a common term in arithmetic?,Discord,Dissolution,Division,Division
Which of the following countries sets speed limits in miles per hour?,Canada,India,Britain,Britain
"In meteorology, okta units measure which of these things?",Wind speed,Barometric pressure,Cloudiness,Cloudiness
What is the literal translation of the pope's Twitter handle?,The Lord's voice,Pope 26,Bridge-builder,Bridge-builder
What sport usually has higher numbers in the final score than the other two?,Soccer,Football,Basketball,Basketball
What device is used to amplify sound?,Micrometer,Microscope,Microphone,Microphone
Which of these is a bone in the human body AND a geometric form?,Ethmoid,Rhomboid,Trapezium,Trapezium
What is the island containing Haiti and the Dominican Republic called?,Dominica,New Providence,Hispaniola,Hispaniola
What common term means a prying or interfering person?,Bossybaby,Buzzybiddy,Busybody,Busybody
Which of these culinary terms is also the name of an active volcano?,Fra Diavolo,Marsala,Stromboli,Stromboli
The DARPA project FastRunner' is a robot whose design resembles what speedy animal?,Tiger,Dog,Ostrich,Ostrich
Le Monde' is a daily newspaper based in what capital city?,Rome,Madrid,Paris,Paris
Which of these cinnamons is typically found at the supermarket?,Cinnamon seeds,Cinnamon bricks,Cinnamon sticks,Cinnamon sticks
Which of these animals is NOT known to have passed the mirror self-recognition test?,Magpie,Dolphin,Gibbon,Gibbon
The reality show Strange Love' starred a founding member of what hip-hop act?,Run-DMC,Wu-Tang Clan,Public Enemy,Public Enemy
Rockstar Games has produced two video games based on which film franchise?,The Fast and the Furious,Shrek,Austin Powers,Austin Powers
Which of these major cities is NOT a state capital?,Boston,Denver,Detroit,Detroit
Passing a soccer ball through an opponent's legs is known as a what?,Peppercorn,Star anise,Nutmeg,Nutmeg
"In a popular saying, a picture is worth a thousand' what?",Photoshop tweaks,Bitcoins,Words,Words
Which of these synonyms for big' traces its roots to the biggest country on Earth?,Behemoth,Gargantuan,Mammoth,Mammoth
Koko the gorilla is famous for doing which of these things?,Knowing her birthday,Meeting a US president,Keeping a pet,Keeping a pet
Which of these is NOT a word in the gene-editing acronym CRISPR?,Palindromic,Repeats,Sequence,Sequence
Where is the largest sawgrass prairie in North America?,Montana,Arkansas,Florida,Florida
The biggest lake in the US borders which of these states?,Illinois,Iowa,Wisconsin,Wisconsin
Which pair of nations has units of currency with the same name?,Egypt / Australia,Fiji / Gabon,India / Seychelles,India / Seychelles
"During World War I, what dog breed was widely renamed liberty hound' in the US?",Golden Retriever,English Mastiff,Wiener dog,Wiener dog
"Thanks to an old process for quick copying, architectural plans are traditionally what color?",Black,Orange,Blue,Blue
"In a humorous saying for British nobility, the second-born child is known as the what?",Flair,Cher,Spare,Spare
Which of these is the name of an island in Hawaii?,Australia,Iceland,Maui,Maui
What did Mr. Potato Head give to C. Everett Koop at a 1980s press event?,Plant,Plaque,Pipe,Pipe
Which US state's capital lies at the highest altitude?,Colorado,Wyoming,New Mexico,New Mexico
Which is NOT the name of a Marx Brother?,Zeppo,Gummo,Jocko,Jocko
What shape are the faces of an octahedron?,Trapezoids,Pentagons,Triangles,Triangles
Which of the following pastas literally translates to little ears'?,Rotelle,Ricciolini,Orecchiette,Orecchiette
What is the official language of Brazil?,Spanish,French,Portuguese,Portuguese
Which of these is a common circus act?,DJ battle,History lecture,Human cannonball,Human cannonball
Which of these bands did NOT play at the inaugural Coachella festival?,Beck,Tool,Radiohead,Radiohead
"When read as a Roman numeral, which president's middle initial has a value of 1000?",James Polk,Dwight Eisenhower,Richard Nixon,Richard Nixon
A late 19th-century essay introduced the concept of brunch as a way to address what?,Loss of appetite,Lack of funds,Hangover,Hangover
Which of these materials is most commonly used as a plant fertilizer?,Toothpaste,Glass,Eggshells,Eggshells
"In anatomy, different parts of an organism are often separated by what?",White picket fences,Limousine partitions,Membranes,Membranes
"In Canada's national anthem, what word is used to describe Canadian hearts?",TRUE,Strong,Glowing,Glowing
Which profession would normally use a Bristol board?,Chemist,Gardener,Artist,Artist
Which of these is the name of a real chemical element?,Byzantium,Adamantium,Titanium,Titanium
"When in flight, what letter of the alphabet do migrating geese most commonly form?",T,X,V,V
Which singer does NOT have a star on the Hollywood Walk of Fame?,Janet Jackson,Celine Dion,Madonna,Madonna
A famous 1977 FBI sting to unmask KGB operatives had what curious name?,Moscow-Mule,Fancy-Bear,Lemon-Aid,Lemon-Aid
The titles of most Sherlock Holmes stories begin with what three words?,The Mystery of,The Case of,The Adventure of,The Adventure of
"When spelled out, what is the only number whose letters appear in alphabetical order?",11,4,40,40
The Beatles song Glass Onion' does NOT refer to which earlier Beatles song?,I Am the Walrus,Lady Madonna,A Day in the Life,A Day in the Life
Sphenopalatine ganglioneuralgia' is the scientific term for what?,Severe embarrassment,Absentmindedness,Ice cream headache,Ice cream headache
"Created in a 1970 contest, the universal recycling symbol depicts what?",Crumpled-up paper,Tree inside a circle,Three arrows,Three arrows
Which is a consequence of letting iron get wet?,Common cold,Shrinkage,Rust,Rust
A son of Rutherford B. Hayes co-founded a company that invented what household item?,Brillo pad,Vacuum cleaner,D battery,D battery
The name of the famous satellite Sputnik' roughly translates to what?,Sky walker,View tomorrow,Travel companion,Travel companion
Eggs Benedict made with crab meat instead of ham is commonly known as what?,Eggs Juno,Eggs Poseidon,Eggs Neptune,Eggs Neptune
"To Londoners, the board game Americans know as Clue' is known as what?",Cluewho,Cluetime,Cluedo,Cluedo
Which magazine is known for its annual ranking of the 400 wealthiest Americans?,Financial Times,Fortune,Forbes,Forbes
Which of these names also refers specifically to a male duck?,Meek,Mill,Drake,Drake
What advice would you most likely get from an orthodontist?,Dye your hair,Finish that screenplay,Floss regularly,Floss regularly
Which of these candies was introduced first?,Life Savers,Charleston Chew,Tootsie Rolls,Tootsie Rolls
Which state's most populated city has the most people?,Colorado,Maryland,Ohio,Ohio
Which author's breakout success was an essay about working at Macy's?,David Eggers,David Foster Wallace,David Sedaris,David Sedaris
"The voice of what Toy Story' character also played the titular role in ""Sully""?",Slinky Dog,Buzz Lightyear,Woody,Woody
Which of these European nations currently has a king?,Finland,Austria,Belgium,Belgium
Which of these Ivy League schools is situated farthest north?,Brown,Cornell,Dartmouth,Dartmouth
Which of these sports typically uses the heaviest standard ball?,Cricket,Baseball,Fast-pitch softball,Fast-pitch softball
Michael Douglas's first Oscar was for a film set where?,Investment Bank,Battlefield,Mental Institution,Mental Institution
What '70s sitcom had a theme song composed by Quincy Jones?,Good Times,What's Happening!!,Sanford &amp Son,Sanford &amp Son
Which of these is NOT one of the Benelux nations?,Belgium,Netherlands,Liechtenstein,Liechtenstein
Which of these is a common type of flying insect?,Fumblebee,Mumblebee,Bumblebee,Bumblebee
Which of these are commonly worn to bed?,Oven mitts,Overalls,Pajamas,Pajamas
The Declaration of Independence was NOT signed by which of these people?,John Adams,Josiah Bartlett,George Washington,George Washington
Which of these words is considered a contronym?,Waste,Dart,Seed,Seed
"According to the cartoon's theme song, what made Clifford the Big Red Dog so big?",Acromegaly,Radiation,Emily Elizabeth's love,Emily Elizabeth's love
In 1982 U.S. regulators began allowing American trains to phase out what?,Ham radios,Smoking cars,Cabooses,Cabooses
Which of these demonstrates heliotropism?,Polarized sunglasses,Suntan lotion,Sunflowers,Sunflowers
Pink Floyd's Dark Side of the Moon' most famously syncs with what movie?,The Empire Strikes Back,Apollo 13,The Wizard of Oz,The Wizard of Oz
The phrase hit the hay' generally means you are about to do what?,Speak in tongues,Slamdance,Sleep,Sleep
The title of a 1975 best-seller by Stephen King appears in the lyrics of what hip-hop hit?, Problems,Anaconda,Lose Yourself,Lose Yourself
Which of these is NOT an ongoing award given to professional cartoonists?,Harvey,Reuben,Segar,Segar
A 1939 Supreme Court decision ruled against workers taking part in what kind of strike?,Walkout,Labor slowdown,Sit-down,Sit-down
Project Star Gate was once a secret government program researching what?,Cryptozoology,Ghosts,ESP,ESP
Las Vegas welcomes visitors with an iconic sign that declares the city is what?,Historic,Scenic,Fabulous,Fabulous
The music of Rick Astley played a direct role in bringing down the leader of what country?,Libya,Venezuela,Panama,Panama
Which of these countries celebrates Easter with both an Easter Bunny and an Easter Bilby?,Sweden,Canada,Australia,Australia
Which of these punctuation marks can be found in an interrobang?,Ampersand,Pound sign,Question mark,Question mark
Snorkelers in the water are most likely to wear what on their feet?,Clown shoes,Stiletto heels,Swim fins,Swim fins
Which of these foods is NOT a type of onion?,Scallion,Shallot,Scallop,Scallop
The co-creator of the first baby monitor was recruited after his design of what?,Portable radio,Crib,Coffee table,Coffee table
In which of these sports can a player NOT get a strike?,Bowling,Baseball,Basketball,Basketball
Adam Sandler did NOT receive a Kids Choice Award for his work in which movie?,Mr. Deeds,Grown Ups 2,Happy Gilmore,Happy Gilmore
Which of these states borders the Hawkeye State?,The Volunteer State,The Peace Garden State,The Show Me State,The Show Me State
The Latin phrase tempus fugit' literally translates to what?,Buyer beware,Come together,Time flies,Time flies
"When it comes to mail, what does the Z in ZIP Code' stand for?",Zoom,Zero,Zone,Zone
The Cy Young Award is given each year to Major League Baseball's best what?,Mascots,Fans,Pitchers,Pitchers
Which of these people is NOT an inductee into the Internet Hall of Fame?,Tim Berners-Lee,Al Gore,Steve Jobs,Steve Jobs
The director of Mad Max: Fury Road' also directed which of these movies?,Borat,Live Free or Die Hard,Babe: Pig in the City,Babe: Pig in the City
Who made the gaming console that indicated a breakdown with the red ring of death?'`,Sony,Nintendo,Microsoft,Microsoft
"By definition, a person who cuts hair is often referred to as what?",Birder,Bugbear,Barber,Barber
Which of these is NOT a kind of apple?,Dog's Snout,Bloody Ploughman,Everett's Knave,Everett's Knave
What type of medical treatment gets its name from the Latin for I shall please'?,Analgesic,Narcotic,Placebo,Placebo
Which famous character does NOT grow larger by interacting with a mushroom?,Alice in Wonderland,Nintendo's Mario,Thumbelina,Thumbelina
What pedal is usually missing from a car with automatic transmission?,Brake,Gas,Clutch,Clutch
"In the NCAA Basketball Tournament, the last four teams alive are known as the what?",Lone Survivors,Grand Slams,Final Four,Final Four
What kind of salad normally contains the most lettuce?,Potato salad,Fruit salad,Caesar salad,Caesar salad
"In Dirty Dancing,' what does Patrick Swayze say right after declaring, Nobody puts baby in a corner'?",Nobody,Ready?,Come on,Come on
The founder of which of these startups has more Twitter followers than Mark Zuckerberg?,Dropbox,WhatsApp,Box,Box
"Closely tied to perestroika,' what does the Russian word glasnost' mean?",Economics,Restructuring,Openness,Openness
Which of these is NOT an example of a redundant acronym?,PIN number,ATM machine,PEZ dispenser,PEZ dispenser
What is the main ingredient in ketchup?,Atlantic cod,Melted copper,Tomatoes,Tomatoes
Which of these celebrities owns an island near the location of the doomed Fyre Festival?,Ja Rule,Steve Martin,Tyler Perry,Tyler Perry
"In cooking, what do chefs set up before they make a meal?",Mise-en-chine,Mise-en-sc\xc3\xa8ne,Mise-en-place,Mise-en-place
Which of these Broadway productions ran for the most shows?,Cats,Les Mis\xc3\xa9rables,Chicago,Chicago
Which of these U.S. national parks is home to a supervolcano?,Yosemite,Zion,Yellowstone,Yellowstone
The flight recorder known as the airplane black box' is typically what color?,Green,Black,Orange,Orange
Street art that involves spraying paint on walls is known as what?,Peter Griffin,Giraffe,Graffiti,Graffiti
Which of these hit rock songs did NOT appear on a debut album?,Last Nite,Buddy Holly,Wonderwall,Wonderwall
Which of these men has been knighted by the Queen of England?,Keith Richards,Hugh Grant,Rudy Giuliani,Rudy Giuliani
Legal work done without charging a fee is known as what?,Habeas corpus,Affidavit,Pro bono,Pro bono
In which country do people typically answer the phone by saying Pronto'?,China,Canada,Italy,Italy
Firefighters often have which of these things attached to their trucks?,LinkedIn profile,PDFs,Hose,Hose
Which of these duos consists of two people NOT born in the same year?,Simon &amp Garfunkel,OutKast,The White Stripes,The White Stripes
Which of these toys debuted in stores during JFK's presidency?,RC helicopter,G.I. Joe,Slip 'N Slide,Slip 'N Slide
Which of these actors has NOT played a person forced to live inside a bubble?,Jake Gyllenhaal,John Travolta,Jason Alexander,Jason Alexander
The first Bo Jackson Nike TV ad featured the musical act famous for recording what song?,Revolution,Hustlin',I'm a Man,I'm a Man
Which of these was NOT one of the canonical seven wonders of the ancient world?,Lighthouse,Mausoleum,Library,Library
What day is Mexico's equivalent to July 4th in the U.S.?,05/05/18,03/05/18,09/16/18,09/16/18
Which of these technological breakthroughs was invented by a man?,Windshield wipers,Kevlar,Aerosol can,Aerosol can
Which state is home to what is considered the deepest lake in the U.S.?,Minnesota,Michigan,Oregon,Oregon
What hairstyle is named for a part of an animal?,Horseholder,Bowl cut,Ponytail,Ponytail
Which of these films would be considered a Pygmalion' story?,Romeo + Juliet,She's the Man,She's All That,She's All That
Which of these is an acronym used to remember the mathematical order of operations?,EMPADS,SADMEP,PEMDAS,PEMDAS
The word fortnight' literally means what?,Nighttime battle,Tomorrow night,Two weeks,Two weeks
